file_name	loc_start	loc_end	collision_type	kind	scope	old_name	new_name
unified.js	117	1113	global	globalmodule	Global  Global	CONFIG	
unified.js	917	9114	global	globalmodule	Global  Global	PRESETS	
unified.js	1277	12713	global	globalmodule	Global  Global	Logger	
unified.js	1577	15718	global	globalmodule	Global  Global	MusicTheory	
unified.js	2507	25018	global	class	Global  Global	SoundEngine	
unified.js	4227	42218	global	globalmodule	Global  Global	audioEngine	
unified.js	4257	42520	global	globalmodule	Global  Global	LayoutManager	
unified.js	4497	44915	global	globalmodule	Global  Global	CoFModel	
unified.js	5587	55822	global	class	Global  Global	ChordSheetStore	
unified.js	8257	82520	global	class	Global  Global	VoicingEngine	
unified.js	12497	124918	global	globalmodule	Global  Global	LocalTheory	
unified.js	13127	131216	global	globalmodule	Global  Global	SVG_PATHS	
unified.js	13197	131920	global	globalmodule	Global  Global	StaffRenderer	
unified.js	13547	135416	global	class	Global  Global	CoFWidget	
unified.js	18247	182416	global	class	Global  Global	UIManager	
unified.js	25807	258016	global	globalmodule	Global  Global	APP_STATE	
unified.js	25877	258714	global	class	Global  Global	JCSCApp	
unified.js	31537	315310	global	globalmodule	Global  Global	app	
unified.js	1326	1327	shorthand	param	Global  Global  Funclog	c	category
unified.js	1419	14113	none	local	Global  Global  FuncexportText	logs	logEntries
unified.js	1427	14210	shorthand	local	Global  Global  FuncexportText	idx	bufferIndex
unified.js	14312	14313	none	local	Global  Global  FuncexportText  For0	i	
unified.js	14410	14415	none	local	Global  Global  FuncexportText  For0	entry	logEntry
unified.js	14919	14922	none	param	Global  Global  FuncexportText  Callmap  Arg1	log	logEntry
unified.js	16514	16519	none	param	Global  Global  FuncindexToSemi	index	
unified.js	1669	16612	none	local	Global  Global  FuncindexToSemi	val	value
unified.js	1759	17517	none	param	Global  Global  FunctoSemi	noteName	
unified.js	1779	17710	none	local	Global  Global  FunctoSemi	r	TBD_r
unified.js	1789	17810	shorthand	local	Global  Global  FunctoSemi	m	noteToSemitoneMap
unified.js	18720	18727	none	param	Global  Global  FuncgetChordIntervals	quality	
unified.js	1887	18811	none	local	Global  Global  FuncgetChordIntervals	ints	intervalList
unified.js	1897	18914	none	local	Global  Global  FuncgetChordIntervals	typeMap	intervalTypeMap
unified.js	1907	19012	none	local	Global  Global  FuncgetChordIntervals	third	thirdInterval
unified.js	1917	19112	none	local	Global  Global  FuncgetChordIntervals	fifth	fifthInterval
unified.js	1927	19214	none	local	Global  Global  FuncgetChordIntervals	seventh	seventhInterval
unified.js	2249	22413	none	local	Global  Global  FuncgetChordIntervals	tMap	tensionSemitoneMap
unified.js	2257	22512	none	local	Global  Global  FuncgetChordIntervals	tList	tensionList
unified.js	22739	22740	none	param	Global  Global  FuncgetChordIntervals  If4  CallforEach  Arg0	t	tensionName
unified.js	23017	23018	none	param	Global  Global  FuncgetChordIntervals  CallforEach  Arg5	t	tensionName
unified.js	23619	23620	none	param	Global  Global  FuncgetChordIntervals  Callmap  Arg6	i	intervalEntry
unified.js	23912	23919	none	param	Global  Global  FuncisMinor	quality	
unified.js	26310	26312	none	local	Global  Global  ClassSoundEngine  Funcinit  Try0	AC	AudioContextClass
unified.js	26710	26711	none	local	Global  Global  ClassSoundEngine  Funcinit  Try0	C	compressorSettings
unified.js	27512	27513	none	catch	Global  Global  ClassSoundEngine  Funcinit  Catch1	e	error
unified.js	27916	27923	none	param	Global  Global  ClassSoundEngine  FuncapplySettings	jsonStr	jsonString
unified.js	28110	28121	none	local	Global  Global  ClassSoundEngine  FuncapplySettings  Try0	newSettings	
unified.js	28811	28812	none	local	Global  Global  ClassSoundEngine  FuncapplySettings  Try0  If0	C	compressorSettings
unified.js	29312	29313	none	catch	Global  Global  ClassSoundEngine  FuncapplySettings  Catch1	e	error
unified.js	30412	30419	none	param	Global  Global  ClassSoundEngine  FuncplayChord	voicing	
unified.js	31210	31211	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0	A	audioSettings
unified.js	31310	31316	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0	mkNote	createNoteVoice
unified.js	34210	34219	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0	bassVoice	
unified.js	31320	31321	shorthand	param	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	m	midiNote
unified.js	31411	31412	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	f	frequency
unified.js	31511	31513	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	t0	scheduleTime
unified.js	31711	31714	shorthand	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	osc	oscillator
unified.js	31811	31812	shorthand	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	g	gainNode
unified.js	31911	31914	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	lpf	lowPassFilter
unified.js	32711	32715	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	dist	pitchDistance
unified.js	32811	32816	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	curve	volumeCurve
unified.js	32911	32912	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  FuncmkNote	v	TBD_v
unified.js	34621	34622	shorthand	param	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  CallforEach  Arg1	m	midiNote
unified.js	34711	34714	none	local	Global  Global  ClassSoundEngine  FuncplayChord  Callthen  Arg0  CallforEach  Arg1	tid	arpeggioTimerId
unified.js	35610	35614	none	param	Global  Global  ClassSoundEngine  FuncplayKey	freq	
unified.js	35810	35811	none	local	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0	A	audioSettings
unified.js	36910	36913	shorthand	local	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0	osc	oscillator
unified.js	37010	37011	shorthand	local	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0	g	gainNode
unified.js	37110	37113	none	local	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0	lpf	lowPassFilter
unified.js	37810	37812	none	local	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0	t0	scheduleTime
unified.js	36338	36339	none	param	Global  Global  ClassSoundEngine  FuncplayKey  Callthen  Arg0  CallforEach  Arg0	k	voiceKey
unified.js	39537	39538	none	param	Global  Global  ClassSoundEngine  FuncstopChords  CallforEach  Arg0	k	voiceKey
unified.js	39911	39921	none	param	Global  Global  ClassSoundEngine  FuncstopKeys	specificId	specificVoiceId
unified.js	40338	40339	none	param	Global  Global  ClassSoundEngine  FuncstopKeys  If1  CallforEach  Arg0	k	voiceKey
unified.js	4078	40712	none	param	Global  Global  ClassSoundEngine  FuncstopV	dict	voiceDictionary
unified.js	4089	40810	none	local	Global  Global  ClassSoundEngine  FuncstopV	v	voiceNode
unified.js	41110	41113	none	local	Global  Global  ClassSoundEngine  FuncstopV  Try0	now	currentTime
unified.js	41612	41613	none	catch	Global  Global  ClassSoundEngine  FuncstopV  Catch1	e	error
unified.js	4279	42713	none	local	Global  Global  Funcupdate	root	
unified.js	4289	42819	none	local	Global  Global  Funcupdate	isPortrait	
unified.js	4299	42915	none	local	Global  Global  Funcupdate	ratios	layoutRatios
unified.js	4319	43118	none	local	Global  Global  Funcupdate	appHeight	
unified.js	4379	43716	none	local	Global  Global  Funcupdate	kbTotal	keyboardTotalRatio
unified.js	48214	48219	none	param	Global  Global  FuncgetLabelSet	state	
unified.js	50012	50024	none	param	Global  Global  FuncgetLabels	spellingMode	
unified.js	5019	50120	none	local	Global  Global  FuncgetLabels	targetState	
unified.js	5039	50312	none	local	Global  Global  FuncgetLabels	set	labelSet
unified.js	51121	51128	none	param	Global  Global  FuncparseStringToIndex	noteStr	
unified.js	5139	51314	none	local	Global  Global  FuncparseStringToIndex	clean	cleanedNote
unified.js	5169	51613	none	local	Global  Global  FuncparseStringToIndex	find	findInArray
unified.js	5249	52417	none	local	Global  Global  FuncparseStringToIndex	contexts	dataContexts
unified.js	51617	51620	none	param	Global  Global  FuncparseStringToIndex  Funcfind	arr	searchArray
unified.js	51710	51713	shorthand	local	Global  Global  FuncparseStringToIndex  Funcfind	idx	foundIndex
unified.js	52514	52517	none	local	Global  Global  FuncparseStringToIndex  ForOf1	ctx	dataContext
unified.js	5268	52611	shorthand	local	Global  Global  FuncparseStringToIndex  ForOf1	idx	foundIndex
unified.js	53613	53618	none	param	Global  Global  Func_normalize	index	
unified.js	53714	53722	none	param	Global  Global  FunccofToChroma	cofIndex	circleOfFifthsIndex
unified.js	53814	53820	none	param	Global  Global  FuncchromaToCof	chroma	
unified.js	54020	54028	none	param	Global  Global  FunctransposeCofIndex	cofIndex	circleOfFifthsIndex
unified.js	5419	54115	none	local	Global  Global  FunctransposeCofIndex	chroma	
unified.js	5429	54218	none	local	Global  Global  FunctransposeCofIndex	newChroma	
unified.js	56643	56644	none	param	Global  Global  ClassChordSheetStore  Func_initPads  Callfrom  Arg0	_	
unified.js	58513	58522	none	param	Global  Global  ClassChordSheetStore  FuncloadPreset	rawString	
unified.js	5879	58714	none	local	Global  Global  ClassChordSheetStore  FuncloadPreset	lines	
unified.js	58742	58743	none	param	Global  Global  ClassChordSheetStore  FuncloadPreset  Callmap  Arg0	s	segment
unified.js	58764	58765	none	param	Global  Global  ClassChordSheetStore  FuncloadPreset  Callfilter  Arg1	s	segment
unified.js	59018	59022	none	param	Global  Global  ClassChordSheetStore  FuncloadPreset  CallforEach  Arg2	line	chordLine
unified.js	61017	61028	none	param	Global  Global  ClassChordSheetStore  FunctransposeToKey	newMpkIndex	newMasterKeyIndex
unified.js	6179	61720	none	local	Global  Global  ClassChordSheetStore  FunctransposeToKey	oldMpkIndex	oldMasterKeyIndex
unified.js	6209	62018	none	local	Global  Global  ClassChordSheetStore  FunctransposeToKey	oldChroma	
unified.js	6219	62118	none	local	Global  Global  ClassChordSheetStore  FunctransposeToKey	newChroma	
unified.js	6229	62219	none	local	Global  Global  ClassChordSheetStore  FunctransposeToKey	chromaDiff	
unified.js	63121	63124	none	param	Global  Global  ClassChordSheetStore  FunctransposeToKey  CallforEach  Arg1	pad	
unified.js	65819	65824	none	param	Global  Global  ClassChordSheetStore  FuncgetPadKeyContext	padId	
unified.js	6599	65912	none	local	Global  Global  ClassChordSheetStore  FuncgetPadKeyContext	pad	
unified.js	67013	67016	shorthand	param	Global  Global  ClassChordSheetStore  FuncgetPadView	idx	padIndex
unified.js	6719	67112	none	local	Global  Global  ClassChordSheetStore  FuncgetPadView	pad	
unified.js	6849	68419	none	local	Global  Global  ClassChordSheetStore  FuncgetPadView	keyContext	
unified.js	6899	68915	none	local	Global  Global  ClassChordSheetStore  FuncgetPadView	labels	
